content,date,isView,score,support,user,userlink
" 很想给五星来着 但是这3D太不给力了 你以为要扑面而来结果她就嘎然而止还莫名消失  只有片尾是真美可以做贺卡……
        ",2012-01-11 22:47:33,看过,还行,4,T.V.Zoe ி,https://www.douban.com/people/T.V.Zoe/
" 小时候的回忆，3D看着有点头晕，还是怀念老版。
        ",2012-01-05 17:25:53,看过,力荐,2,糖,https://www.douban.com/people/joyapple/
" 又是一锅属于山寨大国群星独乐乐的伪3D炒冷饭。不知道为什么在贬低这部“新”动画的时候就会遭到歧视。评分仅仅也是对于这种改编上映方式的贬低，而不是原技术的不尊敬。想必部分水军会拿资历配音和原作重映做噱头说事儿，但我就是看不惯姚晨那鸡嗓子和周立波参与怎么了！冯小刚声音次次戳着笑点不夸张
        ",2012-03-02 23:47:00,看过,较差,3,锐利修蕊,https://www.douban.com/people/ruilixiurui/
" 这个3D确实勾起了我年少的回忆，不是关于此片，而是那种折叠的贺卡，一打开有几层。就这个技术制作了好几年？国产技术你能不能给点希望？？骂归骂还是希望此片票房能超过什么喜洋洋，要不然太尴尬了，可是影院里又看的哈欠连天昏昏欲睡，真不给力！照这个和谐法，孙猴子被禁的那天不远了。
        ",2012-01-11 17:44:06,看过,还行,2,麦克阿瑟,https://www.douban.com/people/m37157/
" 李扬消失了好多年终于又能听到他的声音，相比之下其他的明星配音演员弱得不值一提
        ",2012-01-18 10:54:36,看过,还行,0,小小罗夏呀,https://www.douban.com/people/yxs19840602/
" 一个人的大闹天宫有且只有存在于吴承恩的书中，现在抑或未来只有揭竿为旗天下云合，才能真正地齐天普圣。另：影片结束时出现的一副副艺术家的照片，看着它们渐渐地从黑白过渡到彩照，心中无限唏嘘和感叹经典的力量！
        ",2012-09-01 10:44:48,看过,力荐,2,劳永逸,https://www.douban.com/people/antennnnnna/
" 骗人么。。。。。相比之下我怎么觉得老版的更好一些？新版感觉色彩灰灰的。
        ",2012-01-20 00:17:03,看过,较差,0,喵公子,https://www.douban.com/people/wangxiaolei/
" 你信么 放过去这绝对是官僚主义，孙悟空也一定会被扣大帽子的，国产动画无力吐槽，过去的动画翻来覆去的拍，一点心意没有，打我懂事起，有几部国产动画拿的出手的！
        ",2012-03-19 20:22:18,看过,无评分,0,迪格明,https://www.douban.com/people/Ai-wrong/
" 原因：旧版的50年版权保护期到了，为了继续保住“美猴王”的版权，就必须要这样的一次翻新。众所周知的是，西方人对于美猴王的形象已经觊觎很久了。 ///纪念：今天是中国动画创始人万籁鸣、万古蟾的112周年诞辰，谷歌首页也特地更换了Doodle以表纪念。///什么时候才能用手中的画笔砸
        ",2012-01-18 18:08:06,看过,无评分,5,握不住的灵魂,https://www.douban.com/people/csp/
" 放弃了水墨风格的经典之作 人设放到今天并不讨喜 七仙女象妖精一般。
总体也向经典致敬 让大家都了解一下这部国宝级动画片也不错。 起码是能勾起童年的回忆。
        ",2012-01-28 23:06:43,看过,推荐,0,ReMinD,https://www.douban.com/people/49761291/
" 炒冷饭加蛋
        ",2012-01-26 22:18:02,想看,无评分,0,玩酷子弟,https://www.douban.com/people/kikikaikai/
" monkey kink哈哈
        ",2011-11-10 10:51:47,想看,无评分,0,kulilin,https://www.douban.com/people/kulilin/
" 要看要看要看要看要看要看要看要看要看要看要看要看要看
        ",2011-11-11 00:45:43,想看,无评分,0,[已注销],https://www.douban.com/people/yuwai/
" 這都搞成3d的了？？
        ",2012-07-18 02:53:53,想看,无评分,0,九只苍蝇撞墙,https://www.douban.com/people/huhu1999/
" 靠，支持，要不要去电影院看呢。。。
        ",2011-12-27 16:14:45,想看,无评分,0,九命猫@victor-eyes,https://www.douban.com/people/OldCatMiMiMi/
" 最主要是修复版
        ",2012-01-11 23:22:25,想看,无评分,0,Enid,https://www.douban.com/people/lessgrain/
" 老一辈的动画创作者(万籁鸣老先生等)赋予《大闹天宫》位列经典的理由,与3D无关. 国内好事者想在3D的深海里打个挺,拎出经典来炒冷饭,需知,多少人内心深处对国产动画的美好记忆可以被某种东西轻易唤起,但决不是有形无神的3D技术
        ",2012-01-10 10:24:13,想看,无评分,0,WALL·E,https://www.douban.com/people/lynxcn/
" 6.6 (4479人评价)
        ",2016-02-22 21:06:53,想看,无评分,0,JillyWang,https://www.douban.com/people/46934074/
" 看看他们能整出什么妖孽来。
        ",2012-01-08 20:35:38,想看,无评分,0,左旋_AllenX,https://www.douban.com/people/allenx/
" 这是被铁臂阿童木加持过的猴子？
        ",2017-09-23 20:56:42,想看,无评分,0,Asymptotic自由,https://www.douban.com/people/2740051/
" 其实说的是这部！明年期待之复兴 就是一个人 也要去影院捧场！。。
        ",2011-11-13 22:33:09,想看,无评分,0,味儿精。。,https://www.douban.com/people/virgin/
" 但愿不要玩3D过火
        ",2011-12-30 19:16:16,想看,无评分,0,城市中的乡绅,https://www.douban.com/people/13694634/
" 你就是不转3D我也一样会进电影院。无关缅怀，只是对当下疲软中国动画的鄙视
        ",2012-01-11 22:38:08,想看,无评分,0,列车长&solaris,https://www.douban.com/people/AspireY/
" 我收藏了高清修复版嘻嘻
        ",2012-01-11 10:34:10,想看,无评分,0,咸鱼BADSHOW,https://www.douban.com/people/THYN/
" 咳咳，第二部
        ",2012-09-14 00:30:29,想看,无评分,0,小眉毛,https://www.douban.com/people/Annabelle-iLive/
" 声优阵容也太奇怪了……
        ",2012-01-07 22:07:20,想看,无评分,0,自作孽的香菇,https://www.douban.com/people/blackmushroom/
" 哇塞，这都要出3D了。支持有木有？2012年1月12日上映
        ",2012-01-03 10:38:27,想看,无评分,0,窗边的小豆豆,https://www.douban.com/people/MITyuewen/
" 小时候的记忆。非常看不惯那些还没看就给低分的人，心理有问题。
        ",2012-01-11 16:54:52,想看,无评分,0,在风之间,https://www.douban.com/people/erwa/
" 中国3D？怀疑，待验证！
        ",2011-12-04 10:05:31,想看,无评分,0,叛逆肚皮,https://www.douban.com/people/lucky77/
" 其實都不用翻拍什麽3D版的原作就已經很有空間感了！
        ",2012-01-17 19:32:53,想看,无评分,0,Mr.lala,https://www.douban.com/people/mr.lala/
" 作为一个曾经的动画人
        ",2012-01-12 23:48:19,看过,力荐,0,我无解了怎么办,https://www.douban.com/people/kevin13L/
" 哪个版本的西游记都看不腻。除了张纪中的。那个实在太烂了。
        ",2012-05-13 14:48:02,看过,推荐,0,羊男的乌鸦,https://www.douban.com/people/shixideshechi/
" 很想给五星来着 但是这3D太不给力了 你以为要扑面而来结果她就嘎然而止还莫名消失 只有片尾是真美可以做贺卡…… 

        ",2012-07-14 21:29:49,看过,还行,0,Anakin,https://www.douban.com/people/wlx1993/
" 囧，好像没什么两样嘛，看了好多遍差不多的就没意思了。
        ",2012-02-06 13:34:53,看过,还行,0,[已注销],https://www.douban.com/people/mcPaul/
"  首先，这不是一部新电影，更不是一部电脑动画片，就是1961年和1964年那个版本的修复立体电影版。经过商业化包装，节奏变得更加紧凑，这也使得作品丢了原来的那个味道。总结：经典无法复制。P。S。片尾做的不错，值得夸奖。
        ",2012-01-14 22:56:31,看过,很差,0,Vini_Kazma,https://www.douban.com/people/tomqulab/
" 拿简笔画分个层就变3D了啊，果然是上影作风，跟看flash似的。谁买票谁哑巴吃黄莲。
                
                ",2012-01-05 16:02:13,看过,很差,0,拷古雪茄,https://www.douban.com/people/oldragontomb/
" 先是葫芦兄弟，现在大闹天宫也来炒冷饭。中国动画真的只能靠喜羊羊吗？不过，很喜欢这部片子里的配音，龙王的苍老，玉帝的威严，太白金星的中庸都表现得恰到好处。另外，陈道明的玉帝好有帝王音！喜欢喜欢！！
        ",2012-02-23 13:55:11,看过,推荐,0,杰德的十四行诗,https://www.douban.com/people/i_am_alive/
" 熟悉的画面，熟悉的声音
        ",2012-02-27 13:44:29,看过,无评分,0,大头,https://www.douban.com/people/datouzhaoliang/
" 国内的电影好事者也想在3D的深海里打几个挺，说实话，这部3D重制的《大闹天宫》真没看出多少3D的效果，倒是那时候的动画制作从细微的表情变化，到各种小动作的细节设计，都可作为人物形象塑造的范本供现如今的从业人员学习。陈道明的配音很出彩！
        ",2012-01-05 15:53:22,看过,还行,0,麦兜,https://www.douban.com/people/lumingtao/
" 只为了这庞大的配音阵容。
        ",2012-08-27 12:13:44,看过,还行,0,Panda的阴影,https://www.douban.com/people/PandaMovieMusic/
" 无论如何，都是瑰宝。
        ",2012-03-24 20:15:24,看过,力荐,0,BlackBird,https://www.douban.com/people/27675083/
" 名著，國粹，純正的國產。就該給孩子們看看這種動畫。
        ",2012-02-23 19:56:46,看过,还行,0,白.茶,https://www.douban.com/people/luguo90/
" 中国动画没希望了
        ",2012-08-11 22:47:50,看过,很差,0,罗马路,https://www.douban.com/people/shahua/
" 无视3D效果 还算及格的翻拍
        ",2012-01-15 12:36:09,看过,还行,1,青貓,https://www.douban.com/people/angelababy_/
" 没看成3D版。。。
        ",2012-02-15 17:23:07,看过,还行,0,oO空门射偏Oo,https://www.douban.com/people/kim5257/
" 那些年，我们一起看过的动画片…锵锵锵锵锵锵锵锵……至于3D，反正我是没戴眼镜看的。
                
                ",2012-01-11 16:41:53,看过,力荐,2,Dagny,https://www.douban.com/people/chanel0214/
" 在工艺美术上堪称一流，有传统范、民族风，不愧是中国动画第一片。我当是温习一遍了。@龙湖华大影城
        ",2012-01-11 23:24:38,看过,推荐,0,慢先森,https://www.douban.com/people/mr.slow/
" 豆瓣免费观影，说是3D的，也没给眼镜，看来就是2D版，配音有几个实在接受不了，尤其是哪咤。。。唯一觉得不错的就是去电影院重温了一遍儿时经典
        ",2012-01-11 23:59:16,看过,还行,0,哆啦Z梦,https://www.douban.com/people/4275367/
" 这部片子有神马必要3D啊，想不通。。。这部的风格和从前那部差不多嘛，算是与时俱进的翻新版吧。。。给现在的小盆友们看看神马叫真正的中国动画也挺好的，别总觉得日本的好了。。。音乐也很美。。。就是姚晨一说话我就囧了，仙女不能是这嗓子啊。。。
        ",2012-02-23 13:06:27,看过,推荐,0,阿厨厨,https://www.douban.com/people/Qling1982/
" 艺术价值毫无疑义。李扬的配音也确实精彩。问题是这样分段式的截取情节有虎头蛇尾的感觉。画面有时候会感觉比较空。仙女的配音很urgly。
        ",2012-05-11 12:32:20,看过,推荐,0,活着,https://www.douban.com/people/2761636/
" 神作呀！！！不晓得电影院3D效果如何。
        ",2012-01-11 17:05:24,想看,无评分,0,佳丸子佳,https://www.douban.com/people/jwzj3721/
" 我倒是很想进影院为儿时经典捧场，但是就非要是3D么？我可以预见这3D的版本好不了！
        ",2012-01-12 20:06:43,想看,无评分,0,Rachel.瑞,https://www.douban.com/people/tt_star/
" 跟不断重映的大话西游一样，又出来消费情怀了。有时候，经典还是更适合在电脑前重温。更何况，这次还不是完整版本，诚意何在？
        ",2017-10-04 22:24:09,想看,无评分,0,声影笔录,https://www.douban.com/people/1253778/
" ！！！！！！！！！！！！加油
        ",2011-11-16 04:36:03,想看,无评分,0,九九,https://www.douban.com/people/nineno/
" 虽然一片骂声，但就是很想看。很多事没有确切的原因，就是第一感觉，听从心声。
        ",2012-01-14 22:05:21,想看,无评分,0,up in the air,https://www.douban.com/people/caicaiyuyu/
" ！！！
        ",2012-01-11 21:48:37,想看,无评分,0,[已注销],https://www.douban.com/people/roy325/
" 到底还是不是以前那些人画的啊，不是就算了
        ",2012-01-15 23:55:22,想看,无评分,0,未央sama,https://www.douban.com/people/wirlpool/
" 陈道明果然给玉帝配音。。。
        ",2012-01-05 23:14:31,想看,无评分,0,击节而歌,https://www.douban.com/people/46308834/
" 原来就是儿时那个旧版悟空穿上个“3D”新衣，要不我们怀旧去？！@阙兮子
        ",2012-01-24 18:18:36,想看,无评分,0,醉卧清波,https://www.douban.com/people/moihugh/
" 准备带小外甥看他人生中第一次电影
        ",2012-01-13 13:34:04,想看,无评分,0,everything,https://www.douban.com/people/strawberryguo/
" 就喜欢孙悟空。
        ",2012-01-11 11:01:34,想看,无评分,0,donna,https://www.douban.com/people/1465728/
" (⊙_⊙)？评分这样咩？我还很想看的说~
        ",2012-01-18 09:36:20,想看,无评分,0,子非鱼,https://www.douban.com/people/sharine/
" 这个我想问有谁看过了  ……
        ",2011-01-03 19:56:00,想看,无评分,0,珊你个大头鬼啊,https://www.douban.com/people/sucheng7/
" 我很好奇二维版画式的动画片，怎么出3D效果？我所能想到的就是弹簧立体贺年卡那个样子。不管怎么样，想支持下国产动画片~
        ",2012-01-11 18:02:39,想看,无评分,0,丸子大喵能,https://www.douban.com/people/bbbear/
" 好的动画片比的不是几D，而是创作者的灵感和诚意。
                
                ",2012-01-07 21:15:03,想看,无评分,0,skymermaid,https://www.douban.com/people/1384651/
" 不过是想悟空
        ",2012-02-06 22:33:24,想看,无评分,0,佩玉琼琚,https://www.douban.com/people/seayear/
" 中国动画情何以堪……
        ",2012-01-13 22:27:49,想看,无评分,0,哀轶,https://www.douban.com/people/aiyi729/
" 思念万先生，一位真正的艺术家。
        ",2012-01-20 19:01:35,想看,无评分,0,Ceasar|请叫我邓布利多,https://www.douban.com/people/2178218/
" 晚上是不是应该看看来着？
        ",2012-01-11 20:33:09,想看,无评分,0,tyechi,https://www.douban.com/people/tanya_tian/
" 原来是修复不是烂翻拍 小时候可喜欢了
        ",2017-10-10 14:11:23,想看,无评分,0,如烟,https://www.douban.com/people/47500444/
" 老瓶装旧酒~毫无新意
        ",2012-02-26 00:01:45,看过,还行,0,也许的小狐狸,https://www.douban.com/people/sennpenn12/
" 总觉得情节衔接有问题；骗钱作？
        ",2012-01-26 23:17:04,看过,还行,0,alex,https://www.douban.com/people/tidzhang/
" TC认为大闹天宫比喜羊羊要好看

        ",2012-01-15 20:38:46,看过,推荐,0,你听得到,https://www.douban.com/people/1554569/
" 乐趣在于听出是哪个演员的配音，亮点在猴子跳出八卦炉时的样子，诸葛孔明。
        ",2012-08-07 18:10:20,看过,推荐,0,马里安巴,https://www.douban.com/people/lintao/
" 我跟我旁边的小孩，居然看睡着了
        ",2012-01-25 00:37:52,看过,较差,0,大桥哥的世界,https://www.douban.com/people/yangqiaoqiao/
" 用来怀念小时候的经典，可惜，3d还是比不上水墨动人
        ",2012-01-23 19:22:28,看过,推荐,0,Warthriel,https://www.douban.com/people/13129748/
" 为什么非得抹杀他
        ",2012-01-11 14:53:40,看过,力荐,1,年少何愁白头,https://www.douban.com/people/38192972/
" 配音和3都很烂，但是这个故事我很喜欢。3539
        ",2012-01-16 10:45:35,看过,推荐,0,hungry,https://www.douban.com/people/dbhungry/
" 对原作的亵渎。。。
                
                ",2012-03-02 12:06:20,看过,很差,0,donchen,https://www.douban.com/people/donchen/
" 看这种经典的东西就很容易让人吐槽，皆因现在完全无经典，而且就连这可怜的经典重修3D工作，看演职人员名单就知道，技术活全是老外。中国人现在连最起码的衣食住行都没有安全的自我保障，遑论这些文化经典的传承了。
        ",2013-04-07 13:58:52,看过,推荐,0,Eva,https://www.douban.com/people/EvaYanDouBan/
" 真真的比张老头拍的西游记好看，完全就是小时候那片子~~看配音版的时候总是使劲听哪个角色是谁配的，选人还挺准的，哈哈。
        ",2012-02-20 13:44:52,看过,力荐,0,白暖暖,https://www.douban.com/people/momokovi/
" 海报中那个俺老孙来也，简直画蛇添足
                
                ",2012-01-11 14:27:34,看过,无评分,4,列克大叔,https://www.douban.com/people/1629471/
" 其实电影没问题，主要是这个3D。
        ",2012-08-23 13:11:43,看过,还行,0,安小洁,https://www.douban.com/people/anxiaojie/
" 这电影我说怎么这么熟悉
        ",2012-01-16 15:29:20,看过,还行,0,钟笑乂,https://www.douban.com/people/49840485/
" 剩下的只有淡淡的回忆。关于影片本身，实在没什么可说的。
        ",2012-11-08 09:44:29,看过,还行,0,心动的灵魂,https://www.douban.com/people/48322904/
" 我是感觉修复版的导演 水平比较一般 靠老子上位的吧

        ",2012-01-14 19:52:15,看过,还行,0,淘金汉,https://www.douban.com/people/andrew2002/
" 真心没必要3D啊！
        ",2012-05-24 16:39:21,看过,还行,0,耶耶妹,https://www.douban.com/people/46923118/
" 拿出来重新骗钱的。。。
        ",2012-01-14 18:33:46,看过,还行,0,FujiwaraTakumi,https://www.douban.com/people/terrysteven/
" 动画还是那部电影史上的奇迹，中国动画上的巅峰，65年万氏作品。配音却差点毁了这部修复版，除去李扬的孙悟空，其他的配音表现太做作了，尤其是姚晨配仙女，惨不忍睹，如果这大嘴婆娘尚存一丝廉耻跟良知的话就不该这么糟践经典神作……当然应该不止我一个觉得海报很丑，3D二字碍眼的吧？出于厚古，四星
        ",2012-02-24 17:24:53,看过,推荐,0,鲁大师-鲁提辖,https://www.douban.com/people/luwenhui/
" 坐在电影院看的不是电影，是回忆，五星给的是原版和回忆
        ",2012-01-12 23:22:00,看过,力荐,0,拦腰斩不断先生,https://www.douban.com/people/double_zhan/
" 【原来这片子在11号上映了，为什么不推迟一周，赶在今天，中国动画创始人万籁鸣、万古蟾 112 周年诞辰日上映呢。。。。】
        ",2012-01-18 14:40:01,想看,无评分,0,寂处听风,https://www.douban.com/people/kang2125/
" 阿好想看
        ",2012-01-13 16:20:08,想看,无评分,0,恐龙蛋,https://www.douban.com/people/54778746/
" 尼玛 敢不敢高科技修复原版 而不是这样炒冷饭骗钱！！！
        ",2012-01-11 21:22:39,想看,无评分,0,小个梨头,https://www.douban.com/people/4485436/
" 童年o(*////▽////*)q ！！！！！！
        ",2012-01-11 18:27:26,想看,无评分,0,镜泉,https://www.douban.com/people/iloveudear/
" 天宫性派对 神州首次大规模公映成人3d巨作
        ",2012-01-11 14:18:49,想看,无评分,0,Moonface,https://www.douban.com/people/2012057/
" 可是我應該去哪兒看
        ",2012-01-26 13:53:52,想看,无评分,0,[已注销],https://www.douban.com/people/fanmiandianxing/
" 看截图，画质还真不错。
        ",2012-01-12 13:21:03,想看,无评分,0,陈志炜|我终于知道怎么加后缀了,https://www.douban.com/people/chenzhiwei0428/
" 什么时候哪吒闹海也能拍成3D的。阿玛喜欢哪吒闹海啦～
                
                ",2011-11-30 10:06:34,想看,无评分,0,[已注销],https://www.douban.com/people/effy1993/
" 3D了？？？？？？
        ",2012-01-12 23:09:29,想看,无评分,0,阿杲,https://www.douban.com/people/Angela.Libra/
" 这才应该是中国的动画片啊
        ",2012-01-12 03:53:33,想看,无评分,0,Hel',https://www.douban.com/people/helsinkihusky/
" 碉堡了～
                
                ",2011-12-17 17:20:48,想看,无评分,0,一人广隶,https://www.douban.com/people/49190226/
" 这是跟泰坦尼克一样的3d重制版啊   节操掉一地
        ",2012-01-11 13:16:28,想看,无评分,0,甲级子午线,https://www.douban.com/people/fuck-fuck/
" 没注意还有这部 满满的回忆 在那个时代 简直是神作 
        ",2017-10-03 01:28:36,想看,无评分,0,黑犬兽,https://www.douban.com/people/147571060/
" 不超出30块我就去电影院，超出我就下载看。
        ",2012-01-06 12:12:32,想看,无评分,0,ghodom,https://www.douban.com/people/ghodm/
" 真的特别鄙视没看过就打一星的 你们新年等着被哪个妖精收吧。。。
        ",2012-01-03 17:29:43,想看,无评分,0,痛平分,https://www.douban.com/people/heavenlypeace/
" 今天谷歌的doodle让我很想去看这一部。。可惜汕头貌似不上映？
        ",2012-01-18 10:20:32,想看,无评分,0,ArsRead,https://www.douban.com/people/arsread/
" 找名人来配音这是闹哪样啊...
        ",2012-02-04 09:34:03,想看,无评分,0,还是兔狼A,https://www.douban.com/people/yzywq13/
" 这些都是什么评价，我要看看
        ",2012-01-31 00:03:39,想看,无评分,0,王富丽,https://www.douban.com/people/aaate/
" 经典再现！还是要支持下的！
        ",2011-12-05 09:49:07,想看,无评分,0,鬼道无涯,https://www.douban.com/people/igarden/
" 这个必须顶上。不知道3D做成什么样。
        ",2011-12-23 20:29:21,想看,无评分,0,St.Patrick,https://www.douban.com/people/dearpatrick/
" 真的很不错了，国产动画就该这样，这才是名副其实的中国动画。。。为什么要骂啊？有什么可骂的？
        ",2012-02-07 14:13:13,看过,力荐,0,萌 . 李,https://www.douban.com/people/Castellan199/
" 冷饭炒啊炒。炒啊炒。能不能超出点新意来。你看人家功夫熊猫？汗颜不？
        ",2012-07-20 22:46:54,看过,较差,0,Kifi,https://www.douban.com/people/huangzhirong/
" 不要怪我。。这种连CG都算不上的3D是怎么回事？小时候的回忆是真的，老版妥妥的给了五星。。但是人的品味和要求是与时俱进的~~不要又炒冷饭又还只是表面上炒一炒里面还都是凉的。。。
        ",2012-03-01 20:31:21,看过,较差,0,南條某葉,https://www.douban.com/people/yeshunjia/
" 其实真没必要，原作的完成度之高已然是一部荟丽的艺术品，任何外部粉饰和创新都只会显得画蛇添足，如此的艺术品再披上一层商业的镀金，只会让人更觉厌恶，就像在艺术馆中观摩一幅画作，没有人会希望看到一幅3D的提香或莫奈的作品，更何况几位演员并非专业的配音员？“陈年酒醇香，何需新瓶装”就是如此
        ",2018-03-23 21:58:14,看过,还行,2,回忆与否之,https://www.douban.com/people/148860881/
" 很少给一星，不过这个不给不痛快。还说想弄张BD收藏的，结果这帮蠢货阉割了情节，比原版足足短了近30分钟！还把原作中国特色的戏曲配乐删的毫无痕迹，原作里戏曲配合画面的节奏可谓神来之笔，搞重制的蠢货难道丝毫都看不出来？精华都弄没了，有这空不如做个新片。
        ",2012-11-04 21:23:49,看过,很差,0,多久,https://www.douban.com/people/wunya/
" 没啥差距 只说为了从前吧
        ",2012-01-15 20:17:35,看过,还行,0,Bright,https://www.douban.com/people/32251971/
" 天官们都是脑满肠肥的样子，太可笑了。。
        ",2012-03-06 09:40:35,看过,还行,0,老醜殘🐰,https://www.douban.com/people/zkidult/
" 还是喜欢老版。
        ",2012-07-30 14:30:06,看过,很差,0,秋天的鱼,https://www.douban.com/people/qiutiandeyu/
" 感觉没有65年的好，我印象中的那句“皇帝轮流做，明年到我家”呢？四星鼓励大圣的浪漫主义！
        ",2012-03-22 14:22:03,看过,推荐,0,船山遗风,https://www.douban.com/people/ximeir/
" 配音有改进，音效无惊喜。
        ",2012-05-05 17:22:19,看过,还行,0,阿妙妙,https://www.douban.com/people/helenvivi/
"  小时候每年过春节都想拿来看的经典，也是电影史上不容忽视的浓墨重彩。想到把它拿出来做3D应该是很多上影厂老影人的心水。也许是刚锻炼过身体，看的时候睡着了，旁边的小朋友在跟爸爸讨论喜洋洋和孙悟空哪个电影版更长。不是我不明白，这世界变化快。
        ",2012-01-13 23:46:46,看过,还行,0,隋混混,https://www.douban.com/people/hunhunsui/
" 为了这些配音和小时候的经典！
        ",2012-08-23 20:22:53,看过,还行,0,Mr.Wood,https://www.douban.com/people/57421160/
" 就像介绍所说 如果放到70年前 这会是多么值得令中国炫耀的事  可是现在中国的动画界就只有靠不断的重复翻拍以前的经典来证明自己曾经的辉煌 我认为 这是对辉煌 及上一辈人努力的侮辱
        ",2012-01-12 20:47:35,看过,较差,0,路人乙,https://www.douban.com/people/cassie111/
" 美好的童年哇~~~
        ",2012-02-17 20:24:21,看过,还行,0,阢陧,https://www.douban.com/people/wunie/
" 鸡肋
        ",2012-01-14 21:57:56,看过,很差,0,狼王哈士奇,https://www.douban.com/people/v.sirin/
" 继承以前的画风，细腻，喜欢
        ",2012-02-22 20:35:29,看过,还行,0,arne,https://www.douban.com/people/1417703/
" 经典不可复制！最后留意了一下制作cast，好多老外！你妹！真想多个老外就扣一颗星！有些色调很乡土，原片那种如水墨画般的飘逸感和如敦煌壁画般的贵族感完全消失！玉帝王姆娘娘惨淡的脸，白胖高的哪吒，让我想到了天书奇谈的妖精。３Ｄ效果的确是有一点的，但发现把眼睛拿下来看的叠影画面更好看！
        ",2012-01-11 22:43:56,看过,很差,0,kizu,https://www.douban.com/people/hydellen/
" 小朋友看的，我终于睡了
        ",2012-01-15 10:15:57,看过,较差,0,栀子英,https://www.douban.com/people/zhiziying/
" http://tv.sohu.com/20120220/n335307961.shtml  之前的老版本不是挺好的，为什么要出现在这样一个东西。
        ",2012-02-27 04:15:01,看过,很差,0,unundercooled,https://www.douban.com/people/2412119/
